1	001	1	399.99
1	002	1	499.99
2	001	2	9.99
2	002	2	8.99
3	001	3	14.99
3	002	3	12.99
4	001	4	19.99
4	002	4	17.99
5	001	5	14.99
5	002	5	14.99
6	003	1	1.99
6	004	1	2.39
7	003	2	1.19
7	004	2	1.49
8	003	3	4.99
8	004	3	4.59
9	003	4	0.49
9	004	4	0.69
9	005	1	3.0
9	007	1	3.0
10	005	2	8.0
11	005	3	50.0
12	007	2	37.0
13	007	3	22.0
14	007	4	5.0
15	007	5	12.0
16	007	6	10.0
17	008	1	700.0
18	008	2	1200.0
19	008	3	4000.0
19	009	1	3000.0
20	009	2	3500.0
21	009	3	6000.0
22	010	1	399.0
23	010	2	699.0
24	010	3	300.0
24	011	1	150.0
25	010	4	500.0
25	011	2	360.0
26	011	3	399.0
27	011	4	459.0
28	006	1	7.49
29	006	2	5.49
30	006	3	4.59
