1	2016-01-01	P015
2	2016-01-01	P007
3	2016-01-01	P022
1	2016-01-02	P015
2	2016-01-02	P007
3	2016-01-02	P022
1	2016-01-03	P007
2	2016-01-03	P022
3	2016-01-03	P015
1	2016-01-04	P015
2	2016-01-04	P007
3	2016-01-04	P022
1	2016-01-05	P015
2	2016-01-05	P022
3	2016-01-05	P007
1	2016-01-06	P022
2	2016-01-06	P007
3	2016-01-06	P015
1	2016-01-07	P007
2	2016-01-07	P015
3	2016-01-07	P022
1	2016-01-08	P015
2	2016-01-08	P022
3	2016-01-08	P007
1	2016-01-09	P022
2	2016-01-09	P007
3	2016-01-09	P015
1	2016-01-10	P007
2	2016-01-10	P022
3	2016-01-10	P015
1	2016-01-11	P022
2	2016-01-11	P007
3	2016-01-11	P015
1	2016-01-12	P015
2	2016-01-12	P022
3	2016-01-12	P007
1	2016-01-13	P007
2	2016-01-13	P015
3	2016-01-13	P022
1	2016-01-14	P015
2	2016-01-14	P022
3	2016-01-14	P007
1	2016-01-15	P022
2	2016-01-15	P007
3	2016-01-15	P015
1	2016-01-16	P007
2	2016-01-16	P022
3	2016-01-16	P015
1	2016-01-17	P015
2	2016-01-17	P007
3	2016-01-17	P022
1	2016-01-18	P007
2	2016-01-18	P015
3	2016-01-18	P022
1	2016-01-19	P015
2	2016-01-19	P007
3	2016-01-19	P022
1	2016-01-20	P015
2	2016-01-20	P007
3	2016-01-20	P022
1	2016-01-21	P007
2	2016-01-21	P015
3	2016-01-21	P022
1	2016-01-22	P022
2	2016-01-22	P007
3	2016-01-22	P015
1	2016-01-23	P007
2	2016-01-23	P015
3	2016-01-23	P022
1	2016-01-24	P007
2	2016-01-24	P015
3	2016-01-24	P022
1	2016-01-25	P007
2	2016-01-25	P022
3	2016-01-25	P015
1	2016-01-26	P022
2	2016-01-26	P015
3	2016-01-26	P007
1	2016-01-27	P022
2	2016-01-27	P015
3	2016-01-27	P007
1	2016-01-28	P015
2	2016-01-28	P007
3	2016-01-28	P022
1	2016-01-29	P015
2	2016-01-29	P007
3	2016-01-29	P022
1	2016-01-30	P022
2	2016-01-30	P007
3	2016-01-30	P015
1	2016-01-31	P022
2	2016-01-31	P015
3	2016-01-31	P007
1	2016-02-01	P015
2	2016-02-01	P022
3	2016-02-01	P007
1	2016-02-02	P022
2	2016-02-02	P015
3	2016-02-02	P007
1	2016-02-03	P015
2	2016-02-03	P007
3	2016-02-03	P022
1	2016-02-04	P022
2	2016-02-04	P007
3	2016-02-04	P015
1	2016-02-05	P022
2	2016-02-05	P007
3	2016-02-05	P015
1	2016-02-06	P015
2	2016-02-06	P007
3	2016-02-06	P022
1	2016-02-07	P007
2	2016-02-07	P015
3	2016-02-07	P022
1	2016-02-08	P022
2	2016-02-08	P015
3	2016-02-08	P007
1	2016-02-09	P022
2	2016-02-09	P015
3	2016-02-09	P007
1	2016-02-10	P022
2	2016-02-10	P015
3	2016-02-10	P007
1	2016-02-11	P022
2	2016-02-11	P015
3	2016-02-11	P007
1	2016-02-12	P022
2	2016-02-12	P007
3	2016-02-12	P015
1	2016-02-13	P007
2	2016-02-13	P015
3	2016-02-13	P022
1	2016-02-14	P022
2	2016-02-14	P007
3	2016-02-14	P015
1	2016-02-15	P015
2	2016-02-15	P022
3	2016-02-15	P007
1	2016-02-16	P015
2	2016-02-16	P022
3	2016-02-16	P007
1	2016-02-17	P022
2	2016-02-17	P007
3	2016-02-17	P015
1	2016-02-18	P022
2	2016-02-18	P015
3	2016-02-18	P007
1	2016-02-19	P022
2	2016-02-19	P015
3	2016-02-19	P007
1	2016-02-20	P022
2	2016-02-20	P015
3	2016-02-20	P007
1	2016-02-21	P015
2	2016-02-21	P022
3	2016-02-21	P007
1	2016-02-22	P015
2	2016-02-22	P022
3	2016-02-22	P007
1	2016-02-23	P015
2	2016-02-23	P007
3	2016-02-23	P022
1	2016-02-24	P007
2	2016-02-24	P015
3	2016-02-24	P022
1	2016-02-25	P015
2	2016-02-25	P022
3	2016-02-25	P007
1	2016-02-26	P015
2	2016-02-26	P022
3	2016-02-26	P007
1	2016-02-27	P022
2	2016-02-27	P007
3	2016-02-27	P015
1	2016-02-28	P015
2	2016-02-28	P007
3	2016-02-28	P022
1	2016-02-29	P015
2	2016-02-29	P022
3	2016-02-29	P007
1	2016-03-01	P007
2	2016-03-01	P022
3	2016-03-01	P015
1	2016-03-02	P007
2	2016-03-02	P022
3	2016-03-02	P015
1	2016-03-03	P022
2	2016-03-03	P007
3	2016-03-03	P015
1	2016-03-04	P015
2	2016-03-04	P007
3	2016-03-04	P022
1	2016-03-05	P022
2	2016-03-05	P007
3	2016-03-05	P015
1	2016-03-06	P007
2	2016-03-06	P022
3	2016-03-06	P015
1	2016-03-07	P007
2	2016-03-07	P015
3	2016-03-07	P022
1	2016-03-08	P015
2	2016-03-08	P007
3	2016-03-08	P022
1	2016-03-09	P022
2	2016-03-09	P007
3	2016-03-09	P015
1	2016-03-10	P022
2	2016-03-10	P015
3	2016-03-10	P007
1	2016-03-11	P007
2	2016-03-11	P022
3	2016-03-11	P015
1	2016-03-12	P015
2	2016-03-12	P007
3	2016-03-12	P022
1	2016-03-13	P007
2	2016-03-13	P015
3	2016-03-13	P022
1	2016-03-14	P015
2	2016-03-14	P007
3	2016-03-14	P022
1	2016-03-15	P022
2	2016-03-15	P007
3	2016-03-15	P015
1	2016-03-16	P022
2	2016-03-16	P007
3	2016-03-16	P015
1	2016-03-17	P015
2	2016-03-17	P022
3	2016-03-17	P007
1	2016-03-18	P022
2	2016-03-18	P007
3	2016-03-18	P015
1	2016-03-19	P007
2	2016-03-19	P022
3	2016-03-19	P015
1	2016-03-20	P022
2	2016-03-20	P007
3	2016-03-20	P015
1	2016-03-21	P007
2	2016-03-21	P015
3	2016-03-21	P022
1	2016-03-22	P015
2	2016-03-22	P007
3	2016-03-22	P022
1	2016-03-23	P015
2	2016-03-23	P022
3	2016-03-23	P007
1	2016-03-24	P022
2	2016-03-24	P015
3	2016-03-24	P007
1	2016-03-25	P007
2	2016-03-25	P015
3	2016-03-25	P022
1	2016-03-26	P022
2	2016-03-26	P007
3	2016-03-26	P015
1	2016-03-27	P015
2	2016-03-27	P007
3	2016-03-27	P022
1	2016-03-28	P022
2	2016-03-28	P015
3	2016-03-28	P007
1	2016-03-29	P007
2	2016-03-29	P022
3	2016-03-29	P015
1	2016-03-30	P007
2	2016-03-30	P022
3	2016-03-30	P015
1	2016-03-31	P022
2	2016-03-31	P015
3	2016-03-31	P007
1	2016-04-01	P007
2	2016-04-01	P022
3	2016-04-01	P015
1	2016-04-02	P022
2	2016-04-02	P015
3	2016-04-02	P007
1	2016-04-03	P007
2	2016-04-03	P015
3	2016-04-03	P022
1	2016-04-04	P007
2	2016-04-04	P015
3	2016-04-04	P022
1	2016-04-05	P022
2	2016-04-05	P007
3	2016-04-05	P015
1	2016-04-06	P022
2	2016-04-06	P007
3	2016-04-06	P015
1	2016-04-07	P022
2	2016-04-07	P007
3	2016-04-07	P015
1	2016-04-08	P022
2	2016-04-08	P007
3	2016-04-08	P015
1	2016-04-09	P015
2	2016-04-09	P022
3	2016-04-09	P007
1	2016-04-10	P007
2	2016-04-10	P022
3	2016-04-10	P015
1	2016-04-11	P007
2	2016-04-11	P022
3	2016-04-11	P015
1	2016-04-12	P022
2	2016-04-12	P015
3	2016-04-12	P007
1	2016-04-13	P007
2	2016-04-13	P015
3	2016-04-13	P022
1	2016-04-14	P007
2	2016-04-14	P022
3	2016-04-14	P015
1	2016-04-15	P015
2	2016-04-15	P007
3	2016-04-15	P022
1	2016-04-16	P022
2	2016-04-16	P015
3	2016-04-16	P007
1	2016-04-17	P007
2	2016-04-17	P015
3	2016-04-17	P022
1	2016-04-18	P015
2	2016-04-18	P022
3	2016-04-18	P007
1	2016-04-19	P015
2	2016-04-19	P022
3	2016-04-19	P007
1	2016-04-20	P015
2	2016-04-20	P007
3	2016-04-20	P022
1	2016-04-21	P007
2	2016-04-21	P015
3	2016-04-21	P022
1	2016-04-22	P022
2	2016-04-22	P007
3	2016-04-22	P015
1	2016-04-23	P015
2	2016-04-23	P022
3	2016-04-23	P007
1	2016-04-24	P007
2	2016-04-24	P022
3	2016-04-24	P015
1	2016-04-25	P022
2	2016-04-25	P015
3	2016-04-25	P007
1	2016-04-26	P022
2	2016-04-26	P007
3	2016-04-26	P015
1	2016-04-27	P022
2	2016-04-27	P015
3	2016-04-27	P007
1	2016-04-28	P007
2	2016-04-28	P022
3	2016-04-28	P015
1	2016-04-29	P015
2	2016-04-29	P022
3	2016-04-29	P007
1	2016-04-30	P015
